INFO 2024-12-01 16:19:42,430 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-01 16:19:42,657 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_futures.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,658 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\utils\_os.py first seen with mtime 1730590523.4774022
DEBUG 2024-12-01 16:19:42,658 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1730590522.67241
DEBUG 2024-12-01 16:19:42,658 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\http\request.py first seen with mtime 1730590523.4500463
DEBUG 2024-12-01 16:19:42,658 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1730590523.499764
DEBUG 2024-12-01 16:19:42,658 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\views\defaults.py first seen with mtime 1730590523.5044372
DEBUG 2024-12-01 16:19:42,658 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\logging\config.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,658 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\urllib\error.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,658 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\decimal.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,658 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\template\__init__.py first seen with mtime 1730590523.4538
DEBUG 2024-12-01 16:19:42,658 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\maistorbox\urls.py first seen with mtime 1732445862.6798055
DEBUG 2024-12-01 16:19:42,658 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1730590521.831875
DEBUG 2024-12-01 16:19:42,658 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1730590523.3723824
DEBUG 2024-12-01 16:19:42,659 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1730590520.2302215
DEBUG 2024-12-01 16:19:42,659 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1730590523.3310764
DEBUG 2024-12-01 16:19:42,659 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\utils\connection.py first seen with mtime 1730590523.4838107
DEBUG 2024-12-01 16:19:42,659 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\urllib3\__init__.py first seen with mtime 1731422612.9424186
DEBUG 2024-12-01 16:19:42,660 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\template\response.py first seen with mtime 1730590523.4576895
